date,evaporation,precipitation,pressure,soil_moisture,temperature,water_area_km2,wind_speed,humidity,precip_3day_avg,precip_7day_avg,temp_3day_avg,soil_3day_avg,day_of_year,month,year,is_monsoon,water_area_change,water_area_pct_change,ds_idx,flood_event,district,avg_elevation_m,district_encoded,precip_lag1,precip_lag2,precip_lag3,soil_lag1,water_lag1,rain_x_soil,rain_x_elevation,soil_x_water,precip_7day_x_soil
2023-01-01,-0.000230351,0.000134985,100639.5491,0.087775761,16.71212559,73.52160626,0.625040886,50.78715822,0.000158992,0.004001163,16.37091139,0.087946456,1.0,1,2023,0,-178.2355388,-0.707966158,4.0,0,Balochistan_District,610,1,0.0,0.0,0.0,0.0,0.0,1.1848411098585e-05,0.08234085000000001,6.453414939413864,0.000351205127210043
2023-01-01,-0.000230351,0.0001004015,100639.5491,0.087775761,16.71212559,374.7089452,0.625040886,50.78715822,0.000203987,0.002868376,16.42900713,0.087848987,1.0,1,2023,0,301.1873389,4.096582681,5.0,0,Balochistan_District,610,1,0.000134985,0.0,0.0,0.087775761,73.52160626,8.8128180680415e-06,0.061244915,32.890362818437296,0.000251773886234136
2023-01-02,-0.000215121,0.0,100800.068,0.087690737,16.07038112,250.3905616,2.556114788,54.97546344,9e-05,0.001539931,16.49821076,0.08774742,2.0,1,2023,0,-124.3183836,-0.331773194,6.0,0,Balochistan_District,610,1,0.0001004015,0.000134985,0.0,0.087775761,374.7089452,0.0,0.0,21.9569328845479,0.00013503768431914702
2023-01-03,-0.000217396,0.0,101029.1779,0.087693518,15.40526141,126.072178,2.904837447,49.24818335,4.5e-05,0.000211486,16.06258937,0.087720005,3.0,1,2023,0,-124.3183836,-0.496497882,7.0,0,Balochistan_District,610,1,0.0,0.0001004015,0.000134985,0.087690737,250.3905616,0.0,0.0,11.055712810742204,1.8545951347748e-05
2023-01-04,-0.000213516,0.0,101026.649,0.087631091,14.6357516,1.753794423,2.287332619,51.01206029,0.0,8.74e-05,15.37046471,0.087671782,4.0,1,2023,0,-124.3183836,-0.986088965,8.0,0,Balochistan_District,610,1,0.0,0.0,0.0001004015,0.087693518,126.072178,0.0,0.0,0.1536869186772055,7.658957353399999e-06
2023-01-05,-0.000210283,0.0,101050.6959,0.087680489,14.10070574,332.3958997,3.081612246,49.00887776,0.0,8.74e-05,14.71390625,0.087668366,5.0,1,2023,0,330.6421053,10.0,9.0,0,Balochistan_District,610,1,0.0,0.0,0.0,0.087631091,1.753794423,0.0,0.0,29.144635027290953,7.6632747386e-06
2023-01-06,-0.000203728,0.0,101019.8371,0.087655907,14.27301106,1198.344531,3.055811785,49.21468254,0.0,1.93e-05,14.21557595,0.087664101,6.0,1,2023,0,535.306526,0.807354212,0.0,1,Balochistan_District,610,1,0.0,0.0,0.0,0.087680489,332.3958997,0.0,0.0,105.04197676329461,1.6917590051000002e-06
2023-01-06,-0.000203728,0.0,101019.8371,0.087655907,14.27301106,663.038005,3.055811785,49.21468254,0.0,3.86e-05,14.33648947,0.087655829,6.0,1,2023,0,330.6421053,0.994723778,10.0,0,Balochistan_District,610,1,0.0,0.0,0.0,0.087655907,1198.344531,0.0,0.0,58.11919770374554,3.3835180102000003e-06
2023-01-07,-0.00019583,0.000131695,100885.9745,0.087628906,14.43227919,1029.95973,2.797650368,52.14113729,4.39e-05,1.88e-05,14.32610044,0.087646907,7.0,1,2023,0,-168.3848005,-0.140514515,0.0,1,Balochistan_District,610,1,0.0,0.0,0.0,0.087655907,663.038005,1.1540288775670002e-05,0.08033395,90.2542443639554,1.6474234328000001e-06
2023-01-08,-0.000199935,0.000137016,100687.9927,0.087546211,15.39872369,861.5749299,1.54395548,54.55744924,8.96e-05,3.84e-05,14.70133798,0.087610341,8.0,1,2023,0,-168.3848005,-0.163486781,0.0,1,Balochistan_District,610,1,0.000131695,0.0,0.0,0.087628906,1029.95973,1.1995231646376e-05,0.08357976,75.4276206053356,3.3617745023999996e-06
2023-01-09,-0.000198677,0.000449981,100790.8619,0.087459836,16.31356994,778.3047784,1.706833481,56.60477277,0.000345659,0.000166953,16.00862119,0.087488627,9.0,1,2023,0,85.11464899,0.122786874,0.0,1,Balochistan_District,610,1,0.000137016,0.000131695,0.0,0.087546211,861.5749299,3.9355264463116e-05,0.27448841,68.07040827688034,1.4601681999708001e-05
2023-01-09,-0.000198677,0.000449981,100790.8619,0.087459836,16.31356994,693.1901294,1.706833481,56.60477277,0.000239564,0.00010267,15.38152427,0.087544984,9.0,1,2023,0,-168.3848005,-0.195438371,1.0,0,Balochistan_District,610,1,0.000449981,0.000137016,0.000131695,0.087459836,778.3047784,3.9355264463116e-05,0.27448841,60.626295034142785,8.97950136212e-06
2023-01-10,-0.000209535,0.000447868,100607.6221,0.087374347,16.9765707,606.8149756,0.249085019,59.11077811,0.000449276,0.000230934,16.53457019,0.08743134,10.0,1,2023,0,-171.4898028,-0.220337595,1.0,0,Balochistan_District,610,1,0.000449981,0.000449981,0.000137016,0.087459836,693.1901294,3.9132174042196003e-05,0.27319948,53.020062242870935,2.0177707450098e-05
2023-01-11,-0.000213151,0.000349999,100064.4118,0.087254577,19.2073715,435.3251728,2.85264028,55.25205389,0.000415949,0.000280934,17.49917071,0.08736292,11.0,1,2023,0,-171.4898028,-0.282606412,2.0,0,Balochistan_District,610,1,0.000447868,0.000449981,0.000449981,0.087374347,606.8149756,3.0539014695423e-05,0.21349938999999998,37.98411381011591,2.4512777334918e-05
