date,evaporation,precipitation,pressure,soil_moisture,temperature,wind_speed,humidity,month,is_monsoon,flood_event,district,avg_elevation_m,is_missing_precipitation,flood_onset,flood_state,precipitation_lag1,precipitation_lag2,precipitation_lag3,precipitation_lag5,precipitation_lag7,soil_moisture_lag1,soil_moisture_lag2,soil_moisture_lag3,water_area_km2_lag1,water_area_km2_lag2,water_area_km2_lag3,water_area_km2_lag5,water_area_km2_lag7,water_area_km2_lag14,humidity_lag1,humidity_lag2,pressure_lag1,precipitation_3day_sum,precipitation_7day_sum,precipitation_14day_sum,precipitation_30day_sum,soil_moisture_7day_avg,temperature_7day_avg,precip_change_1day,soil_moisture_change_3day,pressure_drop_1day,precipitation_zscore,soil_moisture_zscore,temperature_zscore,pressure_zscore,water_area_km2_lag1_zscore,water_area_km2_lag2_zscore,water_area_km2_lag3_zscore,water_area_km2_lag5_zscore,water_area_km2_lag7_zscore,water_area_km2_lag14_zscore,days_since_heavy_rain,days_since_dry_day,days_in_monsoon,precip_x_soil_moisture,precip_7day_x_monsoon,pressure_low_x_humidity_high
2023-01-01,-0.000230351,0.000134985,100639.5491,0.087775761,16.71212559,0.625040886,50.78715822,1,0,0,Balochistan_District,610,0,0,non_flood,,,,,,,,,,,,,,,,,,0.000134985,0.000134985,0.000134985,0.000134985,0.087775761,16.71212559,,,,-0.14506117755762865,-0.24401064730574284,-1.5991107874451118,1.3828540403664058,,,,,,,,0.0,0,1.1848411098585e-05,0.0,0.0
2023-01-01,-0.000230351,,100639.5491,0.087775761,16.71212559,0.625040886,50.78715822,1,0,0,Balochistan_District,610,1,0,non_flood,0.000134985,,,,,0.087775761,,,73.52160626,,,,,,50.78715822,,100639.5491,0.000134985,0.000134985,0.000134985,0.000134985,0.087775761,16.71212559,,,-0.0,,-0.24401064730574284,-1.5991107874451118,1.3828540403664058,-1.17979075080347,,,,,,,0.0,0,,0.0,0.0
2023-01-02,-0.000215121,0.0,100800.068,0.087690737,16.07038112,2.556114788,54.97546344,1,0,0,Balochistan_District,610,0,0,non_flood,,0.000134985,,,,0.087775761,0.087775761,,374.7089452,73.52160626,,,,,50.78715822,50.78715822,100639.5491,0.000134985,0.000134985,0.000134985,0.000134985,0.08774741966666666,16.498210766666666,,,-160.51889999999548,-0.1457467077890354,-0.24605652588704388,-1.698510818102617,1.6019644256585814,-0.44360766091034703,-1.1838955436916467,,,,,,0.0,0,0.0,0.0,0.0
2023-01-03,-0.000217396,0.0,101029.1779,0.087693518,15.40526141,2.904837447,49.24818335,1,0,0,Balochistan_District,610,0,0,non_flood,0.0,,0.000134985,,,0.087690737,0.087775761,0.087775761,250.3905616,374.7089452,73.52160626,,,,54.97546344,50.78715822,100800.068,0.0,0.000134985,0.000134985,0.000134985,0.08773394425,16.2249734275,0.0,-8.224299999999574e-05,-229.10989999999583,-0.1457467077890354,-0.24598960844803155,-1.8015314480504077,1.9147024176536198,-0.7474753204582757,-0.4470223977111805,-1.1870566650127168,,,,,0.0,0,0.0,0.0,0.0
2023-01-04,-0.000213516,0.0,101026.649,0.087631091,14.6357516,2.287332619,51.01206029,1,0,0,Balochistan_District,610,0,0,non_flood,0.0,0.0,,,,0.087693518,0.087690737,0.087775761,126.072178,250.3905616,374.7089452,,,,49.24818335,54.97546344,101029.1779,0.0,0.000134985,0.000134985,0.000134985,0.0877133736,15.907129062000001,0.0,-0.00014466999999999952,2.5288999999902444,-0.1457467077890354,-0.24749174975160354,-1.9207210979514828,1.9112504362772007,-1.0513429800062044,-0.7511748854915103,-0.4498493448451453,,,,,0.0,0,0.0,0.0,0.0
2023-01-05,-0.000210283,0.0,101050.6959,0.087680489,14.10070574,3.081612246,49.00887776,1,0,0,Balochistan_District,610,0,0,non_flood,0.0,0.0,0.0,0.000134985,,0.087631091,0.087693518,0.087690737,1.753794423,126.072178,250.3905616,73.52160626,,,51.01206029,49.24818335,101026.649,0.0,0.000134985,0.000134985,0.000134985,0.08770789283333334,15.606058508333334,0.0,-1.0248000000004365e-05,-24.046900000001187,-0.1457467077890354,-0.24630311701074056,-2.00359454271552,1.9440747673938656,-1.3552106394979149,-1.0553273732718402,-0.7541397666931154,-1.1925943238240775,,,,0.0,0,0.0,0.0,0.0
2023-01-06,-0.000203728,0.0,101019.8371,0.087655907,14.27301106,3.055811785,49.21468254,1,0,1,Balochistan_District,610,0,1,onset,0.0,0.0,0.0,,,0.087680489,0.087631091,0.087693518,332.3958997,1.753794423,126.072178,374.7089452,,,49.00887776,51.01206029,101050.6959,0.0,0.000134985,0.000134985,0.000134985,0.08770046628571428,15.41562315857143,0.0,-3.7610999999992956e-05,30.858800000001793,-0.1457467077890354,-0.24689461808438493,-1.9769061100275824,1.9019521042205274,-0.5470321564041095,-1.359479860995899,-1.0584301885410856,-0.4550000856699399,,,,0.0,0,0.0,0.0,0.0
2023-01-06,-0.000203728,0.0,101019.8371,0.087655907,14.27301106,3.055811785,49.21468254,1,0,0,Balochistan_District,610,0,0,non_flood,0.0,0.0,0.0,0.0,0.000134985,0.087655907,0.087680489,0.087631091,1198.344531,332.3958997,1.753794423,250.3905616,73.52160626,,49.21468254,49.00887776,101019.8371,0.0,0.0,0.000134985,0.000134985,0.0876833442857143,15.067178225714287,0.0,2.481600000001083e-05,-0.0,-0.1457467077890354,-0.24689461808438493,-1.9769061100275824,1.9019521042205274,1.5695798543223816,-0.5505438374348169,-1.3627206103327592,-0.7594502121683279,-1.1953742728936927,,,0.0,0,0.0,0.0,0.0
2023-01-07,-0.00019583,0.000131695,100885.9745,0.087628906,14.43227919,2.797650368,52.14113729,1,0,1,Balochistan_District,610,0,1,onset,0.0,0.0,0.0,0.0,,0.087655907,0.087655907,0.087680489,663.038005,1198.344531,332.3958997,126.072178,374.7089452,,49.21468254,49.21468254,101019.8371,0.000131695,0.000131695,0.00026668000000000004,0.00026668000000000004,0.087662365,14.741485882857143,0.000131695,-5.158299999999394e-05,133.86260000000766,-0.14507788603976612,-0.24754432602065837,-1.9522370123651382,1.7192279149679541,0.26114632674591437,1.568052164804924,-0.5534177318529326,-1.0639003386667159,-0.45831858656539365,,,0.0,0,1.1540288775670002e-05,0.0,0.0
2023-01-08,-0.000199935,0.000137016,100687.9927,0.087546211,15.39872369,1.54395548,54.55744924,1,0,1,Balochistan_District,610,0,0,continuation,0.000131695,0.0,0.0,0.0,0.0,0.087628906,0.087655907,0.087655907,1029.95973,663.038005,1198.344531,1.753794423,250.3905616,,52.14113729,49.21468254,100885.9745,0.00026871100000000004,0.00026871100000000004,0.00040369600000000005,0.00040369600000000005,0.08764171842857142,14.645534821428573,5.320999999999999e-06,-0.00010969600000000634,197.9817999999941,-0.1450508629900842,-0.24953416335224388,-1.8025440778412498,1.448980184147232,1.1580019854534873,0.25839218618253634,1.5661390600433651,-1.3683504651087777,-0.7625464198800485,,,0.0,0,1.1995231646376e-05,0.0,0.0
2023-01-09,-0.000198677,0.000449981,100790.8619,0.087459836,16.31356994,1.706833481,56.60477277,1,0,1,Balochistan_District,610,0,0,continuation,0.000137016,0.000131695,0.0,0.0,0.0,0.087546211,0.087628906,0.087655907,861.5749299,1029.95973,663.038005,332.3958997,126.072178,,54.55744924,52.14113729,100687.9927,0.000718692,0.000718692,0.0008536770000000001,0.0008536770000000001,0.0876083352857143,14.775293182857142,0.000312965,-0.000196071000000006,-102.869200000001,-0.14346144958213367,-0.25161255018960627,-1.6608432147283914,1.5893979794766215,0.7464241187844355,1.1560885062897746,0.25588514668319046,-0.5586228298045174,-1.0667742531947033,,,0.0,0,3.9355264463116e-05,0.0,0.0
2023-01-09,-0.000198677,0.000449981,100790.8619,0.087459836,16.31356994,1.706833481,56.60477277,1,0,0,Balochistan_District,610,0,0,non_flood,0.000449981,0.000137016,0.000131695,0.0,0.0,0.087459836,0.087546211,0.087628906,778.3047784,861.5749299,1029.95973,1198.344531,1.753794423,,56.60477277,54.55744924,100790.8619,0.001036978,0.001168673,0.001303658,0.001303658,0.08758387028571428,15.014981517142859,0.0,-0.00016907000000000727,-0.0,-0.14346144958213367,-0.25161255018960627,-1.6608432147283914,1.5893979794766215,0.5428894096466436,0.7441248499765298,1.1539885747705139,1.5620463963065505,-1.3710020864530732,,,0.0,0,3.9355264463116e-05,0.0,0.0
2023-01-10,-0.000209535,0.000447868,100607.6221,0.087374347,16.9765707,0.249085019,59.11077811,1,0,0,Balochistan_District,610,0,0,non_flood,0.000449981,0.000449981,0.000137016,0.0,0.0,0.087459836,0.087459836,0.087546211,693.1901294,778.3047784,861.5749299,663.038005,332.3958997,,56.60477277,56.60477277,100790.8619,0.00134783,0.001616541,0.001751526,0.001751526,0.08754013571428572,15.425819368571428,-2.113000000000039e-06,-0.0001718639999999938,183.2398000000103,-0.14347218059209005,-0.25366961777095803,-1.5581507897045352,1.3392732703061463,0.3348462511376759,0.5403993589979779,0.7418380917005657,0.251104805556069,-0.5618656709196131,,,0.0,0,3.9132174042196003e-05,0.0,0.0
2023-01-11,-0.000213151,0.000349999,100064.4118,0.087254577,19.2073715,2.85264028,55.25205389,1,0,0,Balochistan_District,610,0,0,non_flood,0.000447868,0.000449981,0.000449981,0.000131695,0.0,0.087374347,0.087459836,0.087459836,606.8149756,693.1901294,778.3047784,1029.95973,1198.344531,,59.11077811,56.60477277,100607.6221,0.001247848,0.00196654,0.002101525,0.002101525,0.08748280285714286,16.130728002857143,-9.7869e-05,-0.0002052589999999993,543.2102999999915,-0.14396921476786917,-0.2565515673108817,-1.2126212553233704,0.597784148914959,0.1237220789255592,0.33216119268466077,0.538020210599356,1.1496795968008349,1.5572551560518684,,,0.0,0,3.0539014695423e-05,0.0,0.0
2023-01-12,-0.000242407,,100099.7925,0.086969644,15.34078686,2.260081957,31.68308799,1,0,0,Balochistan_District,610,1,0,non_flood,0.000349999,0.000447868,0.000449981,0.000137016,0.0,0.087254577,0.087374347,0.087459836,435.3251728,606.8149756,693.1901294,861.5749299,663.038005,73.52160626,55.25205389,59.11077811,100064.4118,0.000797867,0.00196654,0.00196654,0.002101525,0.08738476528571429,16.283267402857142,,-0.0004901920000000004,-35.38069999999425,,-0.2634077293569619,-1.811517934177244,0.6460792643742964,-0.29544525179552517,0.12083912470147783,0.3296876076515495,0.7373127994991784,0.2472707446701319,-1.1842199410433536,,1.0,0,,0.0,0.0
2023-01-13,-0.000227844,0.0,100456.9948,0.086872924,12.28469162,2.359397589,28.24177956,1,0,0,Balochistan_District,610,0,0,non_flood,,0.000349999,0.000447868,0.000449981,0.000131695,0.086969644,0.087254577,0.087374347,263.8353701,435.3251728,606.8149756,778.3047784,1029.95973,374.7089452,31.68308799,55.25205389,100099.7925,0.000349999,0.0018348449999999999,0.00196654,0.002101525,0.08727676785714286,15.97646917857143,,-0.0005014230000000008,-357.20230000000447,-0.1457467077890354,-0.26573504136749365,-2.2848776197671423,1.1336650476076384,-0.7146125822721826,-0.29872110959502224,0.11826970447519815,0.5333879460415847,1.1451894447072326,-0.45191775522887706,,0.0,0,0.0,0.0,0.0
2023-01-13,-0.000227844,0.0,100456.9948,0.086872924,12.28469162,2.359397589,28.24177956,1,0,0,Balochistan_District,610,0,0,non_flood,0.0,,0.000349999,0.000449981,0.000137016,0.086872924,0.086969644,0.087254577,403.5291675,263.8353701,435.3251728,693.1901294,861.5749299,250.3905616,28.24177956,31.68308799,100456.9948,0.0,0.001697829,0.00196654,0.002101525,0.08718058400000002,15.531607454285714,0.0,-0.0003816529999999957,-0.0,-0.1457467077890354,-0.26573504136749365,-2.2848776197671423,1.1336650476076384,-0.37316326447956827,-0.7182813436468662,-0.30148080164895974,0.3249460012179401,0.7331237355650468,-0.7541835289748927,,0.0,0,0.0,0.0,0.0
